,Wizkid,Davido,Burnaboy
111,"Please help me rtw🙏
Perm slippers at affordable price 
4000 
Delivery nationwide
Contact: 08087006960

Twitter NG AG Ba…","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…",This is lit  come here 😂😂😂🥶🥶🥶🥶🥶 
112,Wizkid has joined the silhouettechallenge with Highway playing in the blue background 🔥🔥🔥 Cc  JoorNation https:…,"Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…",        never say i didnt play my…
113,"Here’s a song for you… Joro by WizKid
","30BG 5PM Tomorrow  Ft  ""THE BEST"" Music Video!! Directed By 

Reply With 👿 If You Are Rea…","Hello guys, I don't know what or how Burna boy's Music sounds like to you but to me it ginger, vibe, inspiration, advice an…"
114,"Since we have all agreed that WizKid Made in Lagos is the best album of 2020, I think we have also concluded on these about…", You are the best because your good heart towards humanity is awesome. It's not about the song alone but been impactful. Greater you, No think am abeg
115,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",".'s “JOWO” earned 11 Million views in 8 weeks.
— 6.2M+ (first 4 weeks)
— 4.8M+ (preceding 4 weeks)

30BG ABT","Twitter: what’s happening?

ernal_jt: it’s ernal happening...💎

@ someone that needs to listen to this. For me  shou…"
116,"Here’s a song for you… Blessed (feat. Damian Marley) by WizKid
",. is currently the only non-indigene of Ghana with 7 songs in the top 50 of Ghana's 🇬🇭 iTunes. A KING!!🏆 He's sel…,"🦅 X 🦍 X Ikorodubois
 GINGER!!!!!!😎   "
117,"A short story.........
Please like and retweet.... I follow back 🙏🙏🙏 SilhoutteChallenge Vaseline snapchat… ","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
118,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",You saw the way south africans took Davido's IF and made it blew like it was their record right? Watch same thing might…,  Thank you very much Bossman KROSS 🥰🙌🏽
119,Nicki Minaj didn’t come closer for the video but no one is talking cos it’s not Wizkid 🤔 let’s keep it Holy 🙏🏽,. is currently the only non-indigene of Ghana with 7 songs in the top 50 of Ghana's 🇬🇭 iTunes. A KING!!🏆 He's sel…,"Yes, we are blessed but it's harder to see sometimes
Tryna find my peace of mind
You said how could we be so blind bab…"
120,     I don’t blame u. I blame us coz we generally don’t like what i… ,".'s “A Better Time” album has amassed 143 Million streams on Audiomack!🎉

30BG",   Kindly I request for Kululwo by Vyper Ranking. Thank you 
121,"* 5minutes into my kidnapping 
Me: Oga abeg just play me wizkid Ginger make I vibe small "," Buying ipad is not the major problem to the family rn, but for the father to get a job that will make… ","▶️ On the low-  

SmashInDaCity 
 InTheMix

NowPlayingOnSmashfm

📻🎧🔈🔉🔊🔥"
122,"– MTV MAMAs 🏆 !

• Best Collaboration – “Smile”
• Best Fan-Base
• Artist of The Year 

VOTE WIZKID HERE: …","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…"," turns up at the protest by Nigerians in UK. Anger in air 💔
LekkiGenocide LagosStateMassacre EndSarsNow https:/…"
123,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",Davido always makes sure you enjoy any song he is on.... always a vibe mahnn 😅,Everytime you making a music is like you making a New Life.
124,Wizkid's JORO hit 93 Million Organic Views via YouTube. 🦅🔥,"Ahead of the release of The Best.  Jowo surpassed 11M on YouTube. We are waiting for another Classic, Movie, and…", Burnaboy na bat 😌💔
125,"Which is your favorite combination of artist and producer with most hit songs ever?

      RT 🔃…","Xfans Issa ThrowbackThursday and we are spicing it up with this throwback question.

What was  first ever singl…",Just a reminder its  to the world 💚🤍💚 
126,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,   Boss❤️
127,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,Hmmm  any words?? 
128,"Supermodel  listening to “Sweet One” via her IG story. 🦋🎶

MadeinLagos out now! Go stream: …",😭😭😭 ,🎶Ginger🎶   
129,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",  Because of you buhari block people from commenting in his post .,"Mhen!!!!! The love too strong ❤️🦍

   Outsiders turning up greatly

We staying outside forever 🔥🔥 http…"
130,"It’s time for the FC Morning Gain 

Rules✍

DROP your HANDLE with WIZKID❤
FOLLOW everyone that LIKES your comment. FOLLO…",Davido understands music and he also understands the business aspect of it .Man is goated in both fields!👌❤️,But if them won fuck you for yash make you no lai down 
131,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…","🛩🌍  brings you this week’s DNATop5 with 3 new entries! 🌍🛩

 1️⃣  🇳🇬
 2️⃣  🇰🇪
 3️⃣  🇬🇭
 …",  You earned a follow. Burna Stan
132,"Football Jersey with customization 7,500 

Basketball kit 9,000 

Send a dm or 
Whatsapp: 08174426201 

Delivery Nationwide…",I really enjoyed singing and dancing to  Johnny one of my all time favorite. I hope you love it as much as i…,Right into  x  ‘Ginger’ ❗️🌟 SemtexOnCapitalXTRA
133,"Why Wizkid no trademark Starboy...una Dey whine me?🤣🙄 

I like Erica but Ahnahn",You saw the way south africans took Davido's IF and made it blew like it was their record right? Watch same thing might…,"MorningRunsIB w  
NaijaTop10  Song No 5

NP ""Ginger"" -   Ft. "
134,"Discover ""Ginger (feat. Burna Boy)"" by Wizkid on MIL 
WizkidFCHL
","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…",     Blessings 🙏🏻
135,"Which of these Wizkid songs do you think will hit 100m views first 🤔
Come closer 

JoRo …","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…", I want your own SilhoutteChallenge omo I just need that video of you🥺🥺🥺🥺🥺
136,"Breakfast!! Let’s feast on the AOTY MadeinLagos 💽🏆
","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","🦅 X 🦍 X Ikorodubois
 GINGER!!!!!!😎   "
137,Wizkid did it better silhouettechallenge ,  InfinixAndDavido  Dami doro," Wizkid - Made in Lagos 🌟🌟🌟🌟🌟
Ariana Grande - Positions
Omah Lay - What have we done (EP) 
Sam Smith - Love Goe… "
138,"  😂😂😂
Wizkid no go reply","Which is your favorite combination of artist and producer with most hit songs ever?

      RT 🔃…",Hmmm  any words?? 
139,WizKid - Ginger (Official Video) ft. Burna Boy  via ,"Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Can never forget  gave us Boshe-nlo!!! Everlasting jam!

People that found out about Burnaboy today claim he came…"
140,Damn ! Wizkid no stress issa hard jam !! 🔥🔥🔥🔥,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
141,I intentionally put Wizkid instead of Drake 😂 ,"Davido's Fastest Music Videos To Hit 1M On Youtube 
-FEM(7 Hours)
~BLOW MY MIND Ft  (10 Hours)
~JOWO(19 Hours)…","Jammin' Burna Boy () - Tonight
Listen on DAB Radio around Manchester, Glasgow, Portmouth &amp; Norwich UK | o… "
142,Wizkid shut down O2 arena Twice back 2 back.. 2018 and 2019.. Just whisper to your fav artiste make him do am if e easy,"🔝 10 ALBUMS ON NG APPLE MUSIC

1️⃣ Ayra Starr EP 
2️⃣ Made in Lagos 
3️⃣ A Better Time 
4️⃣ WH…","🔊NowPlaying - Own it by  ft Ed sheeran &amp;  

It's TheJumpOff w/  x … "
143,Wizkid did it better silhouettechallenge ,. is currently the only non-indigene of Ghana with 7 songs in the top 50 of Ghana's 🇬🇭 iTunes. A KING!!🏆 He's sel…,"Yes, we are blessed but it's harder to see sometimes
Tryna find my peace of mind
You said how could we be so blind bab…"
144,You can’t say you’re a part of Wizkid FC if you think love for Wizkid automatically means dislike/hate for Davido &amp; Burna…,"Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Wizkid - Ginger ft Burnaboy on Apple 🍎 Music 
WizkidFCAS

"
145," -2.
You wey no like to talk in public. 

Y'all I'm telling you zeus can sit for hours without saying Jac… ","The official video for Davido's hit single, The Best featuring Mayorkun drops tomorrow.","ThursdaymorningGlory on  /w  🎧🎧
OnAirNow Cooljamz &amp; shweetjamz 🎶🎶🎙🎙Bank on it by… "
146,"We honestly don’t know what Wizkid c Burnaboy did on Ginger!! Magical spiritual 🦅!! 

Next collabo coming out sooooonnnnn",Davido always makes sure you enjoy any song he is on.... always a vibe mahnn 😅, “23” now has 5M+ streams on Spotify...
147,I’ll forever be grateful to Wizkid  for giving us Tems🥺🤍, jowo ,"Twitter: what’s happening?

ernal_jt: it’s ernal happening...💎

@ someone that needs to listen to this. For me  shou…"
148,"|🇬🇧 UK APPLE MUSIC ALBUM CHARTS:

13. Wizkid – MadeInLagos [=]

",NP: Something Fishy  inside WorkChop with ,"Wizkid entrance at the same 02 with the mask on was crazy too , Olamide Eventim Apollo incredible , Burnaboy entrance at the…"
149,Currently passing away from Wizkid’s excessive awesomeness ,"Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…",  Sure sure. You have nailed it.
150,"Skepta : everything mad when i pull up with the goons, Ciroc boys ain’t f*ckin with Goose.

Wizkid: lai lai! 😂 …","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Top 200 Italy 🇮🇹 Airplay Chart(all genres) 📊
Afrobeats artists with the most all-time entries on the chart 
TOP 5 🏆 
1️⃣…"
151,▶️Blessed🎶-  x   with  x   🔛JordanPlaylist📢,"DJRYDER NowPlayingOnStarFm - The Best By  ft  
 
 With W/F Dunstoppable 



MidMorn…","Wizkid entrance at the same 02 with the mask on was crazy too , Olamide Eventim Apollo incredible , Burnaboy entrance at the…"
152,       “Wizkid source” ha… ,   Ifb,Davido is not your nigga + Ratio'd.
153,Wizkid did it better silhouettechallenge ,"IPhone 8plus 256gb with full accessories for sale.

147k
    …"," Lava Boy!
The Issues of this nation is adding up, Every day and no one is talking.… "
154,"WIZKID - RECKLESS ON APPLE MUSIC!
WIZKIDFCHL
WIZKIDFCAS
","Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…",Davido is not your nigga + Ratio'd. 
155,This live performance of “True Love” by Wizkid will always be special. 🦅 ,.'s JOWO Music Video Has Now Crossed 11 Million Views On Youtube, real life Ft stormzy💪🏾 
156,"WIZKID - GINGER FEAT. BURNA BOY ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
",     Oh! Was wondering too... Just followed back too 💯🤝,  My best song
157,"Why Wizkid no trademark Starboy...una Dey whine me?🤣🙄 

I like Erica but Ahnahn",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,"Part 3 of our analysis of BLACK IS KING is now live on ! 👑

We dissect the MASTERFUL visuals of “MOOD 4 EVA,” t…"
158,"WIZKID - LONGTIME FEAT. SKEPTA ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
",We want this throwback picture of Davido &amp; Wizkid to be a motivation to every creative out there to never give up on their c…," Twice As Tall by BurnaBoy
African Giant by BurnaBoy
Outside.           by BurnaBoy"
159,"Wizkid's JORO has now surpassed 93 Million legit Views via YouTube 🔥🔑

Watch: ",   Ifb,"HotBreakfastClub  w/ 

NP  Hey Boy 'Remix' 
Feat.  

Listen live … "
160,"It’s time for the FC Morning Gain 

Rules✍

DROP your HANDLE with WIZKID❤
FOLLOW everyone that LIKES your comment. FOLLO…", I need a RT from     for this timeless freestyle I recorded with… , In Burnaboy's voice.....Do am if e easy😁😁😁😁😁😁
161,"WIZKID - MIGHTY WINE ON APPLE MUSIC!
WIZKIDFCHL
WIZKIDFCAS
","Davidoatthe02arena x  

  
soldoutconcertpromoters o2arena smade smadeevents 

2YearsAgo h…","You listen to  Outside album and still open that your dirty mouth to call him ""overrated"",if you are a guy,you…"
162,"Laycon freestyled to Wizkid's 'No Stress' (Jimmy Jump Off), Kizz Daniel's 'Eko' (Eko Freestyle) and 'Fuck You' (End SAR…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","Part 3 of our analysis of BLACK IS KING is now live on ! 👑

We dissect the MASTERFUL visuals of “MOOD 4 EVA,” t…"
163,See I go be the no 1 African Champion no lele ..... Wizkid no dey cap 🧢 😩❤️ ,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","Watching 's "" live at the O2 Brixton concert "" to celebrate OUTSIDE ALBUM @ 3 reminds me what a great privilege it i…"
164,When Wizkid said “My music travel no Visa” he sure as hell knew what he was telling about!,"Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Hello guys, I don't know what or how Burna boy's Music sounds like to you but to me it ginger, vibe, inspiration, advice an…"
165,"WIZKID - BLESSED FEAT. DAMIAN MARLEY ON APPLE MUSIC!
WIZKIDFCAS
WIZKIDFCHL
 ",".'s ""AYE"" Now Has 4.5 Million Streams On ","🦅 X 🦍 X Ikorodubois
 GINGER!!!!!!😎   "
166,Ghetto love is Wizkid most underrated song and it one of his best songs.,"Do you remember the RMD actor that sent Davido and Nengi up against each other in JOWO Video??😲😲

He's live at Ghana a…","Yes, we are blessed but it's harder to see sometimes
Tryna find my peace of mind
You said how could we be so blind bab…"
